target,test_family,n_obs,r2_base,r2_full,delta_r2,permutation_p,fdr_q,top_term,top_beta,effect_sign,low_confidence,base_terms,test_terms,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
lfp_ila_gamma_whole_slice_norm,bias_block,526,0.026812502270589067,0.058551495030783385,0.03173899276019432,0.1938061938061938,0.547217488393959,bias_left,-0.17497360865282655,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""bias_left"", ""bias_right""]",lfp_behavior_modulation,global_lfp,global,global,ILA,ila,gamma,gamma,whole_slice_norm
state_working_acad_delta_whole_slice_norm,rule_block,204,0.03298966257569913,0.059509682437783984,0.026520019862084854,0.2217782217782218,0.6034415023179068,rule_reversal_frequency,-0.2677634213336142,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,Working,working,ACAd,acad,delta,delta,whole_slice_norm
state_working_pl_theta_whole_slice_norm,rule_block,204,0.15211037202527367,0.17009764264129035,0.017987270616016682,0.25274725274725274,0.6189728638708231,rule_reversal_frequency,-0.28547640229730364,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,Working,working,PL,pl,theta,theta,whole_slice_norm
state_nrem_pl_theta_whole_slice_norm,learning_stage_block,468,0.10448258903559104,0.11558726284540999,0.011104673809818943,0.2917082917082917,0.6386890420503866,perf_intermediate,-0.09303837352819493,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,NREM,nrem,PL,pl,theta,theta,whole_slice_norm
state_working_mos_theta_whole_slice_norm,learning_stage_block,204,0.1960472447752356,0.2254724077230078,0.0294251629477722,0.3026973026973027,0.6386890420503866,perf_learned,-0.0819771907605856,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,Working,working,MOs,mos,theta,theta,whole_slice_norm
state_nrem_ila_gamma_whole_slice_norm,rule_block,468,0.040400265984902206,0.053127839861607074,0.012727573876704867,0.3226773226773227,0.6400211358889045,rule_reversal_frequency,0.28739639765538716,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,NREM,nrem,ILA,ila,gamma,gamma,whole_slice_norm
state_nrem_pl_delta_whole_slice_norm,learning_stage_block,468,0.11663221492388276,0.12606609120869094,0.009433876284808185,0.34565434565434566,0.6449364588899472,perf_intermediate,-0.16708881071623038,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,NREM,nrem,PL,pl,delta,delta,whole_slice_norm
state_wake_pl_delta_whole_slice_norm,rule_block,526,0.23690220926982686,0.24175764826017188,0.004855438990345018,0.35664335664335667,0.6533924091176,rule_reversal_frequency,-0.08667230337492446,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,Wake,wake,PL,pl,delta,delta,whole_slice_norm
state_working_acad_theta_whole_slice_norm,rule_block,204,0.06303683785918246,0.07392963324842405,0.010892795389241594,0.3836163836163836,0.6576280861995147,rule_reversal_frequency,-0.1297253728583754,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,Working,working,ACAd,acad,theta,theta,whole_slice_norm
state_working_acad_gamma_whole_slice_norm,learning_stage_block,204,0.11977994393938496,0.1444928197741041,0.02471287583471915,0.3936063936063936,0.6652502427150314,perf_intermediate,-0.10731943904229337,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,Working,working,ACAd,acad,gamma,gamma,whole_slice_norm
