target,test_family,behavior_variable,behavior_label,n_obs,spearman_r,effect_size,permutation_p,fdr_q,effect_sign,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
state_nrem_mos_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,468,0.12211603313638714,0.12211603313638714,0.008178431207843855,0.0233669463081253,positive,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,MOs,mos,gamma,gamma,whole_slice_norm
lfp_ila_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,-0.11467701399585979,0.11467701399585979,0.0084755415751795,0.02365267416329163,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,ILA,ila,delta,delta,whole_slice_norm
state_wake_ila_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.11374804114493206,0.11374804114493206,0.00902649646711951,0.024617717637598666,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,ILA,ila,gamma,gamma,whole_slice_norm
state_working_mos_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,204,-0.1789359404244251,0.1789359404244251,0.010445772417541478,0.02766053970106502,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,MOs,mos,theta,theta,whole_slice_norm
lfp_ila_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,0.11134379606767314,0.11134379606767314,0.010603206885408258,0.02766053970106502,positive,direct_lfp_continuous_behavior_association,global_lfp,global,global,ILA,ila,gamma,gamma,whole_slice_norm
state_working_pl_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,204,-0.17702472703009878,0.17702472703009878,0.011311710806637914,0.028880963761628714,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,PL,pl,delta,delta,whole_slice_norm
lfp_acad_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.10979396849180012,0.10979396849180012,0.011744764409757637,0.029361911024394092,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,ACAd,acad,theta,theta,whole_slice_norm
state_nrem_acad_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,468,-0.11563979258063495,0.11563979258063495,0.012301174837731516,0.030125326133220037,negative,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,ACAd,acad,theta,theta,whole_slice_norm
state_working_ila_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,204,-0.1692102391278534,0.1692102391278534,0.015544970365606058,0.03730792887745454,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,ILA,ila,gamma,gamma,whole_slice_norm
state_nrem_mos_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,468,-0.1074047986230711,0.1074047986230711,0.020123687341824736,0.04734985256899938,negative,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,MOs,mos,delta,delta,whole_slice_norm
state_wake_mos_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.09985138583764167,0.09985138583764167,0.02200167897797084,0.050773105333778865,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,MOs,mos,gamma,gamma,whole_slice_norm
state_working_mos_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,204,-0.1574036901120152,0.1574036901120152,0.024551072985687632,0.05558733506193426,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,MOs,mos,gamma,gamma,whole_slice_norm
state_nrem_acad_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,468,0.10326481957683595,0.10326481957683595,0.025485657759371474,0.0566347950208255,positive,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,ACAd,acad,gamma,gamma,whole_slice_norm
state_wake_ila_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,-0.09695131469683717,0.09695131469683717,0.0261821938217633,0.057124786520210837,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,ILA,ila,delta,delta,whole_slice_norm
state_rem_acad_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,350,-0.11512840585563383,0.11512840585563383,0.03129392755322862,0.0670584161854899,negative,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,ACAd,acad,delta,delta,whole_slice_norm
state_working_pl_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,204,-0.14957789325477383,0.14957789325477383,0.03273657192056745,0.06841651251234393,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,PL,pl,gamma,gamma,whole_slice_norm
lfp_pl_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.09294709862277448,0.09294709862277448,0.0330679810476329,0.06841651251234393,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,PL,pl,gamma,gamma,whole_slice_norm
state_working_ila_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,204,-0.14379901725181088,0.14379901725181088,0.04017775244500326,0.08171746260000663,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,ILA,ila,gamma,gamma,whole_slice_norm
lfp_ila_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.08678209697570878,0.08678209697570878,0.046663708907176984,0.09332741781435397,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,ILA,ila,delta,delta,whole_slice_norm
state_rem_pl_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,350,0.10580211468335894,0.10580211468335894,0.04794562655716793,0.09431926535836313,positive,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,PL,pl,delta,delta,whole_slice_norm
state_wake_acad_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.08198119431251596,0.08198119431251596,0.06025761767280307,0.1166276471086511,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,ACAd,acad,gamma,gamma,whole_slice_norm
state_rem_ila_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,350,-0.09824634060322704,0.09824634060322704,0.06637402833453335,0.12596771235958756,negative,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,ILA,ila,theta,theta,whole_slice_norm
state_wake_acad_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,-0.07987385106971547,0.07987385106971547,0.06718277992511337,0.12596771235958756,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,ACAd,acad,theta,theta,whole_slice_norm
state_wake_ila_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.07912796768337045,0.07912796768337045,0.06978525068639482,0.12883430895949816,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,ILA,ila,delta,delta,whole_slice_norm
state_wake_pl_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,0.07395032958134261,0.07395032958134261,0.09020573539684958,0.16401042799427196,positive,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,PL,pl,delta,delta,whole_slice_norm
state_rem_acad_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,350,-0.08994025251187704,0.08994025251187704,0.09295436894176863,0.1664854369106304,negative,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,ACAd,acad,gamma,gamma,whole_slice_norm
state_wake_acad_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,0.06641694036835072,0.06641694036835072,0.12818251254700375,0.22462677516401175,positive,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,ACAd,acad,gamma,gamma,whole_slice_norm
state_wake_ila_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,0.0657950959706239,0.0657950959706239,0.13180207059937538,0.22462677516401175,positive,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,ILA,ila,gamma,gamma,whole_slice_norm
state_wake_mos_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.06570041727452437,0.06570041727452437,0.13236002582421752,0.22462677516401175,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,MOs,mos,theta,theta,whole_slice_norm
lfp_ila_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.06560837770584227,0.06560837770584227,0.13290417530537363,0.22462677516401175,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,ILA,ila,gamma,gamma,whole_slice_norm
lfp_mos_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,0.06397574750724808,0.06397574750724808,0.1428460127332795,0.23807668788879915,positive,direct_lfp_continuous_behavior_association,global_lfp,global,global,MOs,mos,theta,theta,whole_slice_norm
state_nrem_acad_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,468,-0.06375914329742066,0.06375914329742066,0.16850175320314675,0.2769891833476385,negative,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,ACAd,acad,gamma,gamma,whole_slice_norm
lfp_mos_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,-0.05859324713944394,0.05859324713944394,0.17966930315160357,0.2913556267323301,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,MOs,mos,delta,delta,whole_slice_norm
lfp_acad_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,0.05725125084769183,0.05725125084769183,0.18986067410026217,0.30377707856041947,positive,direct_lfp_continuous_behavior_association,global_lfp,global,global,ACAd,acad,gamma,gamma,whole_slice_norm
